T,Mw,Rjb (km),FRV,FNM,ZTOR,?,Vs_30,Z2.5 (km),Ln(Sa)
0.01,6.9,29.79,0,1,-0.8,60,350,2.417221,4.791512623
0.01,6.9,27.49,0,1,-0.8,60,530,2.417221,4.692039643
0.01,6.9,6.78,0,1,-0.8,60,1000,2.417221,5.653318804
0.01,6.9,59.63,0,1,-0.8,60,659.6,2.417221,3.837251575
0.01,6.9,51.74,0,1,-0.8,60,460,2.417221,3.704579829
0.01,6.6,10.27,0,1,0,44,338.6,2.417221,5.561693519
0.01,5.9,15.28,0,0,2,90,208.71,3.56,5.040934463
0.01,5.9,15.16,0,0,2,90,207.469,3.92,4.881525995
0.01,5.9,16.54,0,0,2,90,348.69,3.08,5.37247916
0.01,5.9,7.57,0,0,2,90,191.14,2.417221,5.266236727
0.01,5.9,19.26,0,0,2,90,362.38,2.417221,4.597174556
0.01,5.9,6.18,0,0,2,90,193.67,3.32,6.011543305
0.01,6.36,23.78,1,0,3.4,30,271.441,2.417221,5.625871775
0.01,6.36,55.05,1,0,3.4,30,408.93,2.417221,3.785406412
0.01,6.36,42.76,1,0,3.4,30,338.539,2.417221,4.5439294
0.01,6.36,41.99,1,0,3.4,30,376.073,2.417221,3.335861717
0.01,6.36,43.83,1,0,3.4,30,184.75,2.417221,4.693181201
0.01,6.36,40.01,1,0,3.4,30,376.073,2.417221,3.883388459
0.01,6.36,44.82,1,0,3.4,30,338.539,2.417221,4.510914621
0.01,6.36,46.73,1,0,3.4,30,338.539,2.417221,4.18281423
0.01,6.36,45.49,1,0,3.4,30,438.339,2.417221,4.903640778
0.01,6.36,47.88,1,0,3.4,30,289.56,2.417221,4.904608356
0.01,6.36,49.4,1,0,3.4,30,338.539,2.417221,4.718698423
0.01,6.36,50.98,1,0,3.4,30,256.82,2.417221,4.521265042
0.01,6.36,41.04,1,0,3.4,30,338.539,2.417221,4.948774592
0.01,6.36,30.34,1,0,3.4,30,438.339,2.417221,4.586357298
0.01,6.36,27.1,1,0,3.4,30,376.073,2.417221,4.531638567
0.01,6.36,27.96,1,0,3.4,30,338.539,2.417221,4.711085802
0.01,6.36,28.11,1,0,3.4,30,338.539,2.417221,5.59204933
0.01,6.36,28,1,0,3.4,30,376.073,2.417221,5.101167496
0.01,6.36,26.2,1,0,3.4,30,338.539,2.417221,5.113841184
0.01,6.36,37.92,1,0,3.4,30,338.539,2.417221,4.793464843
0.01,6.36,36.14,1,0,3.4,30,370.789,2.417221,5.009678697
0.01,6.36,33.42,1,0,3.4,30,338.539,2.417221,4.523937267
0.01,6.36,31.64,1,0,3.4,30,438.339,2.417221,4.046543966
0.01,6.36,29.91,1,0,3.4,30,370.789,2.417221,4.787474093
0.01,6.36,28.58,1,0,3.4,30,376.073,2.417221,4.773868441
0.01,6.36,30.43,1,0,3.4,30,438.339,2.417221,3.9830163
0.01,6.36,35.04,1,0,3.4,30,338.539,2.417221,4.470038435
0.01,6.36,31.85,1,0,3.4,30,338.539,2.417221,4.366878789
0.01,6.36,35.93,1,0,3.4,30,376.073,2.417221,4.348348768
0.01,6.36,28.72,1,0,3.4,30,370.789,2.417221,4.504073376
0.01,6.36,38.1,1,0,3.4,30,438.339,2.417221,4.876056588
0.01,6.36,40.13,1,0,3.4,30,438.339,2.417221,4.333910119
0.01,6.36,42.72,1,0,3.4,30,438.339,2.417221,4.108383408
0.01,6.36,47.04,1,0,3.4,30,438.339,2.417221,4.154057485
0.01,6.36,35.29,1,0,3.4,30,376.073,2.417221,4.279531362
0.01,6.36,32.81,1,0,3.4,30,376.073,2.417221,4.79191965
0.01,6.36,30.3,1,0,3.4,30,376.073,2.417221,4.206350957
0.01,6.36,24.83,1,0,3.4,30,338.539,2.417221,5.189800475
0.01,6.36,27.72,1,0,3.4,30,376.073,2.417221,4.401138739
0.01,6.36,29.01,1,0,3.4,30,338.539,2.417221,4.469255666
0.01,6.36,30.91,1,0,3.4,30,297.2,2.417221,4.748131726
0.01,6.36,33.28,1,0,3.4,30,376.073,2.417221,3.944838912
0.01,6.36,39.94,1,0,3.4,30,438.339,2.417221,4.154611352
0.01,6.36,7.69,1,0,3.4,30,257.38,2.417221,6.32972013
0.01,6.36,25.98,1,0,3.4,30,684.935,2.417221,5.021063056
0.01,6.88,83,0,1,0,52,424.8,2.417221,4.291201723
0.01,6.88,84.8,0,1,0,52,424.8,2.417221,3.777738153
0.01,6.19,51.68,0,0,0.5,90,220,1.62,3.583407542
0.01,6.19,24.48,0,0,0.5,90,239.69,1.62,3.477439584
0.01,6.19,3.22,0,0,0.5,90,488.77,1.62,5.82002467
0.01,6.19,39.08,0,0,0.5,90,288.62,1.1,4.748556795
0.01,6.19,23.23,0,0,0.5,90,462.24,1.98,4.569528357
0.01,6.19,0.18,0,0,0.5,90,597.12,1.68,6.857323249
0.01,6.19,53.89,0,0,0.5,90,116.35,1.62,3.997449359
0.01,6.19,31.34,0,0,0.5,90,367.57,1.62,3.101046787
0.01,6.19,14.83,0,0,0.5,90,729.65,1.62,4.601230596
0.01,6.19,14.9,0,0,0.5,90,1428,1.62,4.387418372
0.01,6.19,13.68,0,0,0.5,90,270.84,1.62,5.212027397
0.01,6.19,13.01,0,0,0.5,90,349.85,1.62,5.25434993
0.01,6.19,11.53,0,0,0.5,90,221.78,1.88,5.601775862
0.01,6.19,9.85,0,0,0.5,90,663.31,1.63,5.623213494
0.01,6.19,12.06,0,0,0.5,90,333.85,1.88,4.955085818
0.01,6.19,3.45,0,0,0.5,90,281.61,1.68,5.344912924
0.01,6.19,26.42,0,0,0.5,90,215.54,1.62,4.522183082
0.01,6.19,26.42,0,0,0.5,90,215.54,1.62,4.35167897
0.01,6.19,26.42,0,0,0.5,90,215.54,1.62,4.603905867
0.01,6.19,26.42,0,0,0.5,90,215.54,1.62,4.51691367
0.01,6.19,26.42,0,0,0.5,90,215.54,1.62,4.478103782
0.01,6.19,63.16,0,0,0.5,90,271.441,2.417221,4.006021718
0.01,6.19,70.93,0,0,0.5,90,190.14,1.62,3.783292695
0.01,6.19,27.15,0,0,0.5,90,370.789,1.96,3.614538777
0.01,6.19,31.88,0,0,0.5,90,622.859,1.75,4.311069089
0.01,6.19,31.88,0,0,0.5,90,622.859,1.75,4.184550086
0.01,6.19,45.47,0,0,0.5,90,714,1.1,4.143649642
0.01,5.8,12.8,0,1,8,48,659.6,2.417221,4.504573494
0.01,5.8,49.33,0,1,8,48,200,2.417221,4.199649216
0.01,5.8,29.71,0,1,8,48,338.6,2.417221,4.207521866
0.01,5.8,29.58,0,1,8,48,338.6,2.417221,4.201989529
0.01,5.8,45.47,0,1,8,48,338.6,2.417221,3.573502314
0.01,6.76,2.48,1,0,2,25,659.6,2.417221,6.964366153
0.01,6.76,0,1,0,2,25,659.6,2.417221,5.975618654
0.01,6.76,4.93,1,0,2,25,659.6,2.417221,5.006321383
0.01,6.06,38.22,0,0,4,46,684.935,2.417221,4.788283105
0.01,6.06,51.91,0,0,4,46,684.935,2.417221,4.57776193
0.01,6.06,42.17,0,0,4,46,338.539,2.417221,4.476755813
0.01,6.06,6.74,0,0,4,46,345.419,2.417221,5.395396426
0.01,6.06,52.26,0,0,4,46,274.98,2.417221,3.915279726
0.01,6.06,27.21,0,0,4,46,370.789,2.417221,5.039537628
