T,Mw,Rrup (km),FRV,FNM,ZTOR,?,Vs_30,Z2.5 (km),Ln(Sa)
0.01,6.36,24.02,1,0,3.4,30,271.441,2.417221,5.625871775
0.01,6.36,55.77,1,0,3.4,30,408.93,2.417221,3.785406412
0.01,6.36,43.68,1,0,3.4,30,338.539,2.417221,4.5439294
0.01,6.36,42.92,1,0,3.4,30,376.073,2.417221,3.335861717
0.01,6.36,44.72,1,0,3.4,30,184.75,2.417221,4.693181201
0.01,6.36,40.98,1,0,3.4,30,376.073,2.417221,3.883388459
0.01,6.36,45.7,1,0,3.4,30,338.539,2.417221,4.510914621
0.01,6.36,47.57,1,0,3.4,30,338.539,2.417221,4.18281423
0.01,6.36,46.35,1,0,3.4,30,438.339,2.417221,4.903640778
0.01,6.36,48.7,1,0,3.4,30,289.56,2.417221,4.904608356
0.01,6.36,50.2,1,0,3.4,30,338.539,2.417221,4.718698423
0.01,6.36,51.75,1,0,3.4,30,256.82,2.417221,4.521265042
0.01,6.36,41.99,1,0,3.4,30,338.539,2.417221,4.948774592
0.01,6.36,31.62,1,0,3.4,30,438.339,2.417221,4.586357298
0.01,6.36,28.52,1,0,3.4,30,376.073,2.417221,4.531638567
0.01,6.36,29.34,1,0,3.4,30,338.539,2.417221,4.711085802
0.01,6.36,29.48,1,0,3.4,30,338.539,2.417221,5.59204933
0.01,6.36,29.38,1,0,3.4,30,376.073,2.417221,5.101167496
0.01,6.36,27.67,1,0,3.4,30,338.539,2.417221,5.113841184
0.01,6.36,38.95,1,0,3.4,30,338.539,2.417221,4.793464843
0.01,6.36,37.22,1,0,3.4,30,370.789,2.417221,5.009678697
0.01,6.36,34.59,1,0,3.4,30,338.539,2.417221,4.523937267
0.01,6.36,32.87,1,0,3.4,30,438.339,2.417221,4.046543966
0.01,6.36,31.21,1,0,3.4,30,370.789,2.417221,4.787474093
0.01,6.36,29.94,1,0,3.4,30,376.073,2.417221,4.773868441
0.01,6.36,31.71,1,0,3.4,30,438.339,2.417221,3.9830163
0.01,6.36,36.15,1,0,3.4,30,338.539,2.417221,4.470038435
0.01,6.36,33.07,1,0,3.4,30,338.539,2.417221,4.366878789
0.01,6.36,37.02,1,0,3.4,30,376.073,2.417221,4.348348768
0.01,6.36,30.07,1,0,3.4,30,370.789,2.417221,4.504073376
0.01,6.36,39.12,1,0,3.4,30,438.339,2.417221,4.876056588
0.01,6.36,41.1,1,0,3.4,30,438.339,2.417221,4.333910119
0.01,6.36,43.64,1,0,3.4,30,438.339,2.417221,4.108383408
0.01,6.36,47.88,1,0,3.4,30,438.339,2.417221,4.154057485
0.01,6.36,36.4,1,0,3.4,30,376.073,2.417221,4.279531362
0.01,6.36,34,1,0,3.4,30,376.073,2.417221,4.79191965
0.01,6.36,31.58,1,0,3.4,30,376.073,2.417221,4.206350957
0.01,6.36,26.38,1,0,3.4,30,338.539,2.417221,5.189800475
0.01,6.36,29.12,1,0,3.4,30,376.073,2.417221,4.401138739
0.01,6.36,30.35,1,0,3.4,30,338.539,2.417221,4.469255666
0.01,6.36,32.17,1,0,3.4,30,297.2,2.417221,4.748131726
0.01,6.36,34.45,1,0,3.4,30,376.073,2.417221,3.944838912
0.01,6.36,40.92,1,0,3.4,30,438.339,2.417221,4.154611352
0.01,6.36,8.41,1,0,3.4,30,257.38,2.417221,6.32972013
0.01,6.36,27.46,1,0,3.4,30,684.935,2.417221,5.021063056
0.01,6.88,84.09,0,1,0,52,424.8,2.417221,4.291201723
0.01,6.88,86.67,0,1,0,52,424.8,2.417221,3.777738153
0.01,6.19,51.77,0,0,0.5,90,220,1.62,3.583407542
0.01,6.19,24.66,0,0,0.5,90,239.69,1.62,3.477439584
0.01,6.19,4.4,0,0,0.5,90,488.77,1.62,5.82002467
0.01,6.19,39.19,0,0,0.5,90,288.62,1.1,4.748556795
